,username,name,sex,address,mail,birthdate,fields_of_tech,music,peronality_type,technology,hobbies
10,jamielloyd,Laura Pacheco,F,"501 Robles Loop
Matthewfort, FL 71685",eric69@yahoo.com,2001-02-15,1.11101000111011e+43,Standers,The Performer – ESFP,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Cooking', 'Fitness', 'Sports', 'Photography', 'Crafting', 'Reading']"
11,josepharias,Anthony Cruz,M,"72839 Dudley Islands Suite 951
New Shelleytown, AZ 72529",michaelgibson@gmail.com,1974-02-22,1.010011110011e+42,Sitters,The Idealist – INFP,"['CIV', 'CSE', 'AE']","['Videography', 'Gaming', 'Gardening', 'Traveling', 'Reading']"
12,obriendavid,Todd Beard,M,"844 Jennifer Islands Apt. 128
Thompsonfort, KS 30033",greensteven@hotmail.com,1983-01-06,1.01111011011101e+43,Sitters,The Idealist – INFP,"['CIV', 'ME', 'AE']","['Writing', 'Videography', 'Cooking', 'Sports', 'Gardening', 'Music', 'Photography', 'Reading']"
13,margaret07,Ricky Casey,M,"123 Burke Park
Archerstad, CT 15721",peter71@hotmail.com,2020-03-28,1.100110101010001e+43,Seekers,The Mastermind – INTJ,"['CHEMICAL. E', 'CIV', 'AE']","['Writing', 'Cooking', 'Fitness', 'Collecting', 'Photography', 'Crafting', 'Reading']"
14,sara64,Lisa Smith,F,"13675 Joseph Plaza Suite 702
Tracieview, WV 96431",vwagner@yahoo.com,1940-10-29,1.11101011101011e+43,Standers,The Performer – ESFP,"['CSE', 'AE']","['Writing', 'Cooking', 'Fitness', 'Sports', 'Gaming', 'Collecting', 'Photography', 'Crafting', 'Reading']"
15,richardhamilton,Michael Robinson,M,"544 Diana Causeway Apt. 884
Tomland, CA 52512",mary08@yahoo.com,1994-07-13,1.000100111111101e+39,Sitters,The Inspector – ISTJ,"['ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Fitness', 'Sports', 'Collecting', 'Photography', 'Traveling', 'Reading']"
16,chandlerjoshua,Keith Gates,M,"35758 Bell Lane Suite 888
Drakeland, FL 90671",nelsonteresa@gmail.com,1946-11-23,1.0000010101000111e+41,Standers,The Commander – ENTJ,"['ECE', 'AE']","['Exploration', 'Gardening', 'Collecting', 'Crafting', 'Reading']"
17,nbrown,Cheryl White,F,"3090 Paul Rapids
Marcomouth, NJ 58004",briancarter@hotmail.com,1906-12-24,1.0011001111011e+41,Seekers,The Counselor – INFJ,"['ECE', 'CIV', 'CSE', 'AE']","['Exploration', 'Writing', 'Fitness', 'Gardening', 'Traveling', 'Reading']"
18,karendavis,Ronald Snyder,M,"6342 Keith Villages Apt. 228
Lake Bradleyburgh, ME 57453",nbutler@hotmail.com,2004-04-13,1.1110001101001002e+43,Seekers,The Counselor – INFJ,"['ME', 'CSE', 'AE']","['Exploration', 'Music', 'Photography', 'Crafting', 'Traveling', 'Reading']"
19,chris01,Sydney Johnson,F,"5017 Wong Mission
North Angelahaven, RI 66316",etorres@yahoo.com,1985-01-04,1.101111000101111e+36,Sitters,The Commander – ENTJ,"['CIV', 'CSE', 'AE']","['Writing', 'Cooking', 'Fitness', 'Sports', 'Gaming', 'Music', 'Photography', 'Reading']"
20,nicholasmiller,Jason Mitchell,M,"2107 Ellis Dam
Nolanport, IL 66558",rachel78@hotmail.com,2003-07-24,1.1110010110001101e+43,Standers,Composer – ISFP,"['CIV', 'ME', 'AE']","['Videography', 'Fitness', 'Sports', 'Gardening', 'Music', 'Photography', 'Traveling', 'Reading']"
21,lisamcfarland,Sabrina Bartlett,F,"665 Nathan Squares Apt. 880
Grimeshaven, IL 68820",allisonmaddox@hotmail.com,1999-05-29,1.1111011001111101e+43,Seekers,The Giver – ENFJ,[],"['Exploration', 'Writing', 'Cooking', 'Music', 'Collecting', 'Crafting', 'Reading']"
22,cmcmillan,Dakota White,M,"608 Carolyn Creek Suite 150
Donmouth, VA 29926",michael11@hotmail.com,1920-10-13,1.1101001000001112e+42,Sitters,The Inspector – ISTJ,"['ECE', 'AE']","['Exploration', 'Cooking', 'Gaming', 'Collecting', 'Traveling', 'Reading']"
23,ulozano,Brooke Carter,F,"9932 Rollins Vista
Martinshire, NC 60844",tanyasummers@yahoo.com,1936-02-06,1.1001010110000001e+43,Seekers,The Thinker – INTP,['AE'],"['Writing', 'Videography', 'Sports', 'Gaming', 'Gardening', 'Collecting', 'Photography', 'Reading']"
24,dburke,Matthew Howell,M,"25969 Durham Station Suite 264
Susanhaven, ME 68127",gonzaleztaylor@yahoo.com,2007-09-21,1.0010100100011101e+43,Standers,The Counselor – INFJ,"['CHEMICAL. E', 'ECE', 'AE']","['Writing', 'Videography', 'Sports', 'Gaming', 'Gardening', 'Collecting', 'Traveling', 'Reading']"
25,kelly02,Brandon Anderson,M,"481 Reyes Islands
Kellerfort, NY 81943",lanesamantha@hotmail.com,1980-03-25,1.010100110001111e+42,Seekers,The Counselor – INFJ,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Fitness', 'Gaming', 'Music', 'Photography', 'Reading']"
26,darindean,David Lowe,M,"077 Bobby Landing Suite 702
Marquezhaven, MA 55565",jeremyjackson@gmail.com,1923-10-16,1.1100011110101e+43,Seekers,The Performer – ESFP,['AE'],"['Videography', 'Sports', 'Gaming', 'Gardening', 'Music', 'Photography', 'Traveling', 'Reading']"
27,paul79,Kelly Jackson,F,"31693 Renee Lane
West Wayne, AR 10463",jason62@hotmail.com,2015-09-16,1.0001111111111e+41,Standers,Visionary – ENTP,"['CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Fitness', 'Photography', 'Traveling', 'Reading']"
28,williamsjennifer,Erica Garza,F,"59518 Sharon Inlet
Markchester, NY 48657",awoods@gmail.com,1976-02-28,1.100101010110101e+42,Sitters,The Idealist – INFP,"['ME', 'AE']","['Gaming', 'Gardening', 'Music', 'Crafting', 'Traveling', 'Reading']"
29,georgenicole,Joseph Brown,M,"4626 Ferguson Brook
Downstown, WA 58545",lwarner@hotmail.com,1979-09-23,1.0011100110101111e+43,Sitters,The Craftsman – ISTP,"['CIV', 'CSE', 'AE']","['Fitness', 'Sports', 'Gaming', 'Music', 'Crafting', 'Reading']"
30,cabreratammy,Regina Ward,F,"408 Garcia Flat Apt. 141
South Robertfort, ID 49382",phillipsjames@gmail.com,1979-02-02,1.011111101000101e+39,Standers,The Commander – ENTJ,"['ECE', 'CIV', 'AE']","['Cooking', 'Gardening', 'Collecting', 'Photography', 'Crafting', 'Traveling', 'Reading']"
31,rittertara,Emma Arellano,F,"813 Tricia Center
Russellbury, MI 98552",hudsoncharles@gmail.com,2005-12-30,1.011111111111001e+42,Seekers,The Craftsman – ISTP,"['CIV', 'ME', 'AE']","['Exploration', 'Videography', 'Cooking', 'Gaming', 'Gardening', 'Music', 'Photography', 'Crafting', 'Traveling', 'Reading']"
32,jonesedward,Eric Vance,M,"97416 Arnold Parkways Suite 175
Lake Josephside, WY 82455",hbarton@gmail.com,2011-07-09,1.100101011000001e+43,Standers,The Supervisor – ESTJ,"['CHEMICAL. E', 'CIV', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Fitness', 'Gaming', 'Crafting', 'Traveling', 'Reading']"
33,zachary03,Larry Lane,M,"040 Rivera Viaduct Apt. 293
East Brittanyfurt, AR 82114",mccarthygary@gmail.com,1942-04-09,1.0011111001010102e+42,Standers,The Giver – ENFJ,"['CHEMICAL. E', 'ECE', 'CIV', 'AE']","['Exploration', 'Writing', 'Cooking', 'Sports', 'Gaming', 'Collecting', 'Photography', 'Crafting', 'Reading']"
34,rherman,Emily Williams,F,"6519 Terry Mountains
West Nicholas, GA 12035",xstewart@hotmail.com,1916-05-06,1.101010110011101e+43,Standers,The Champion – ENFP,"['ME', 'AE']","['Fitness', 'Sports', 'Collecting', 'Photography', 'Reading']"
35,thomas85,Cheryl Long,F,"45942 Jillian Skyway Apt. 905
East John, GA 23716",qwhite@gmail.com,1987-02-26,1.0010100111000111e+43,Sitters,The Doer – ESTP,"['CHEMICAL. E', 'ECE', 'CIV', 'AE']","['Videography', 'Cooking', 'Sports', 'Traveling', 'Reading']"
36,thomasmichelle,Charles Wright,M,"736 Clark Place
West George, TX 30453",noah56@yahoo.com,1998-09-18,1.11100100101001e+43,Seekers,The Commander – ENTJ,"['ME', 'AE']","['Exploration', 'Writing', 'Cooking', 'Sports', 'Gardening', 'Music', 'Collecting', 'Traveling', 'Reading']"
37,fsparks,April Campos,F,"7955 Guzman Summit Apt. 392
West Kimberly, MI 56915",monicapena@gmail.com,1973-09-04,1.100101100001001e+43,Seekers,Composer – ISFP,"['ECE', 'ME', 'AE']","['Cooking', 'Fitness', 'Gaming', 'Gardening', 'Crafting', 'Reading']"
38,tiffany62,Martin Moore,M,"278 Matthew Neck
Lake Caleb, GA 11833",sarahwhite@hotmail.com,1976-03-25,1.110011000111111e+41,Seekers,The Commander – ENTJ,"['ECE', 'ME', 'AE']","['Writing', 'Videography', 'Gaming', 'Gardening', 'Collecting', 'Crafting', 'Reading']"
39,adrianbailey,Angela Garcia,F,"4393 Hicks Well Suite 848
Lake Taraborough, NE 02686",wthomas@gmail.com,1916-12-04,1.0011111100001011e+42,Sitters,The Thinker – INTP,"['ME', 'AE']","['Exploration', 'Cooking', 'Fitness', 'Sports', 'Gardening', 'Collecting', 'Crafting', 'Reading']"
40,sanchezryan,Robin Raymond,F,"57603 Romero Bypass Apt. 749
Gonzalezview, OK 02599",greermelissa@hotmail.com,1978-09-28,1.001101000101001e+41,Standers,The Counselor – INFJ,"['ME', 'CSE', 'AE']","['Writing', 'Fitness', 'Sports', 'Gaming', 'Collecting', 'Crafting', 'Reading']"
41,nguyendiana,Andrea Robbins,F,"43028 Rogers Lock Suite 621
Smithborough, KY 27761",chad14@gmail.com,1995-02-25,1.010010000011111e+43,Standers,The Commander – ENTJ,"['ECE', 'CIV', 'AE']","['Videography', 'Sports', 'Gaming', 'Music', 'Collecting', 'Photography', 'Crafting', 'Reading']"
42,vgarner,Bonnie Nguyen,F,"93452 Caleb Mall
Carlsonberg, NY 76884",awells@yahoo.com,1948-02-11,1.0011011111010101e+43,Standers,The Performer – ESFP,"['CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Videography', 'Cooking', 'Fitness', 'Collecting', 'Reading']"
43,michaelsims,Joshua Tyler,M,"8468 Ricky Crossroad
Christopherfort, CA 66829",brent76@gmail.com,2000-05-17,1.0111000101100002e+40,Sitters,The Supervisor – ESTJ,['AE'],"['Exploration', 'Writing', 'Fitness', 'Gaming', 'Gardening', 'Crafting', 'Reading']"
44,meghan09,James Jordan,M,"48103 Robinson Haven Apt. 721
Moyerberg, SC 62277",cmurphy@gmail.com,1970-05-08,1.11010111010101e+42,Sitters,The Doer – ESTP,"['CHEMICAL. E', 'ECE', 'AE']","['Writing', 'Videography', 'Cooking', 'Fitness', 'Gaming', 'Gardening', 'Music', 'Photography', 'Crafting', 'Reading']"
45,dawn50,Stephanie Morrow,F,"8651 Garrett Cape
Roberttown, UT 37054",wandadavidson@gmail.com,1924-04-29,1.0101111001010001e+41,Standers,The Giver – ENFJ,"['ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Videography', 'Sports', 'Gaming', 'Gardening', 'Photography', 'Traveling', 'Reading']"
46,smithjennifer,Phyllis Cook,F,"8640 Mills Lake Apt. 232
West Karen, HI 91662",zmontgomery@hotmail.com,2009-07-06,1.100101000111e+43,Seekers,The Counselor – INFJ,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Writing', 'Videography', 'Fitness', 'Sports', 'Gaming', 'Crafting', 'Traveling', 'Reading']"
47,hectormoore,Cynthia Rodriguez,F,"8385 Jennifer Loop
North Josephville, ME 65687",douglasschultz@yahoo.com,1937-02-24,1.0101011110110011e+40,Seekers,The Idealist – INFP,"['CHEMICAL. E', 'CIV', 'ME', 'AE']","['Fitness', 'Gardening', 'Music', 'Reading']"
48,manuel16,Molly Wiley,F,"285 Patricia Plain
North Robertside, ME 59182",amyrodriguez@hotmail.com,1975-10-27,1.1000001101111011e+43,Standers,The Provider – ESFJ,"['CHEMICAL. E', 'ME', 'AE']","['Exploration', 'Videography', 'Gardening', 'Photography', 'Crafting', 'Traveling', 'Reading']"
49,shermanaaron,Amanda Hamilton,F,"8703 Laura Forge
Kellyfurt, VT 60719",jasonjuarez@yahoo.com,1930-03-01,1.1011111110101e+42,Seekers,Visionary – ENTP,"['CHEMICAL. E', 'ECE', 'CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Cooking', 'Fitness', 'Sports', 'Gardening', 'Photography', 'Traveling', 'Reading']"
50,byoung,Andrew Baker,M,"0039 Andrew Terrace
Leahland, MN 45285",zvargas@gmail.com,1985-12-25,1.10000100011111e+41,Seekers,The Champion – ENFP,['AE'],"['Exploration', 'Writing', 'Videography', 'Sports', 'Gaming', 'Music', 'Photography', 'Crafting', 'Traveling', 'Reading']"
51,kphelps,Heather Perez,F,"PSC 7798, Box 8834
APO AE 74558",ygonzalez@yahoo.com,1932-04-12,1.01000000101111e+43,Seekers,The Idealist – INFP,"['ECE', 'ME', 'CSE', 'AE']","['Collecting', 'Crafting', 'Traveling', 'Reading']"
52,tallen,Paul Morales,M,"647 Brooks Route
Gillville, SC 91784",dlopez@hotmail.com,1923-12-04,1.011101111001e+41,Sitters,Visionary – ENTP,"['CHEMICAL. E', 'AE']","['Exploration', 'Writing', 'Sports', 'Gaming', 'Gardening', 'Collecting', 'Reading']"
53,clarkkatherine,Jonathon Daugherty,M,"0719 Anthony Springs
Palmerside, WV 01429",mccoycarrie@gmail.com,1939-01-14,1.100000010101011e+42,Seekers,The Craftsman – ISTP,"['ME', 'CSE', 'AE']","['Cooking', 'Sports', 'Gaming', 'Gardening', 'Music', 'Photography', 'Crafting', 'Reading']"
54,ddunn,Charles Bradley,M,"71592 Russell Landing
Port Kevinton, WA 35953",stevenhowell@hotmail.com,1949-02-25,1.010101111010101e+40,Standers,The Thinker – INTP,"['ME', 'AE']","['Cooking', 'Fitness', 'Sports', 'Gaming', 'Music', 'Photography', 'Reading']"
55,unguyen,Darryl Smith,M,"011 Andrea Canyon
Lake Emily, WA 79354",barnettkimberly@yahoo.com,1907-03-21,1.100101001111101e+43,Seekers,The Thinker – INTP,"['ME', 'CSE', 'AE']","['Exploration', 'Cooking', 'Sports', 'Gaming', 'Collecting', 'Photography', 'Crafting', 'Traveling', 'Reading']"
56,brandon46,Nicholas Russo,M,"06551 Keller Loop
New Richardborough, ID 66583",kellerrebecca@hotmail.com,2006-12-02,1.011001101100001e+43,Standers,The Counselor – INFJ,"['CHEMICAL. E', 'ECE', 'CIV', 'CSE', 'AE']","['Writing', 'Fitness', 'Gaming', 'Gardening', 'Music', 'Collecting', 'Crafting', 'Reading']"
57,campbellryan,Andrew Parker,M,"3669 Karen Pike Apt. 644
Jordanton, AK 40109",andrew83@hotmail.com,1961-08-27,1.10011000000011e+40,Seekers,The Counselor – INFJ,"['CHEMICAL. E', 'ME', 'CSE', 'AE']","['Videography', 'Sports', 'Collecting', 'Photography', 'Traveling', 'Reading']"
58,jasminemiller,Madison Lewis,F,"USCGC Henderson
FPO AP 34164",cmitchell@yahoo.com,1961-06-18,1.00110100000111e+41,Seekers,The Provider – ESFJ,"['CHEMICAL. E', 'ECE', 'AE']","['Videography', 'Gaming', 'Gardening', 'Collecting', 'Photography', 'Crafting', 'Traveling', 'Reading']"
59,montgomerykatie,Mariah Lara,F,"760 Michele Lane Apt. 046
East Sean, SC 11768",dylan44@gmail.com,1917-12-15,1.0010010011101e+41,Standers,The Idealist – INFP,"['CIV', 'AE']","['Sports', 'Music', 'Photography', 'Crafting', 'Reading']"
60,cortezrobert,Maria Cole,F,"22540 Matthew Islands
South Brittany, HI 88262",amycummings@yahoo.com,1949-03-11,1.1010100010111001e+42,Standers,The Idealist – INFP,"['ECE', 'CSE', 'AE']","['Exploration', 'Writing', 'Sports', 'Gaming', 'Gardening', 'Music', 'Collecting', 'Photography', 'Reading']"
61,xmunoz,Anthony Rogers,M,"64889 Drew Cove
Kevinborough, ME 72207",vharrell@gmail.com,1953-12-30,1.111010101011001e+43,Standers,The Counselor – INFJ,"['CIV', 'CSE', 'AE']","['Exploration', 'Writing', 'Cooking', 'Sports', 'Gardening', 'Photography', 'Crafting', 'Reading']"
62,valeriemarquez,Shannon Carter,F,"084 Ruth Corners Suite 615
Robersonborough, WA 49403",tracy96@yahoo.com,2008-10-17,1.1011110011001101e+43,Sitters,The Champion – ENFP,"['CIV', 'AE']","['Cooking', 'Sports', 'Gardening', 'Music', 'Photography', 'Crafting', 'Reading']"
63,matasuzanne,Christian Joyce,M,"27015 Cesar Shores Apt. 263
South Donnamouth, VA 89568",raymond78@hotmail.com,2003-06-14,1.00111111111011e+41,Sitters,The Counselor – INFJ,"['CHEMICAL. E', 'ECE', 'CIV', 'ME', 'CSE', 'AE']","['Gaming', 'Gardening', 'Music', 'Crafting', 'Traveling', 'Reading']"
64,derrick12,Nancy Johnson,F,"9015 Kimberly Branch Suite 287
North Jesus, SD 90332",foliver@yahoo.com,1938-03-30,1.001001111000111e+41,Sitters,The Counselor – INFJ,"['ECE', 'CIV', 'CSE', 'AE']","['Exploration', 'Cooking', 'Gaming', 'Crafting', 'Reading']"
65,larrybrown,John Mays,M,"USNS Perez
FPO AP 96367",poperachel@hotmail.com,1938-04-25,1.011100101111011e+41,Sitters,The Doer – ESTP,"['CHEMICAL. E', 'ECE', 'CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Fitness', 'Sports', 'Gaming', 'Music', 'Traveling', 'Reading']"
66,aowens,Robert Mcgee,M,"221 Thomas Rapid
East Karenborough, OR 11514",curtisleslie@yahoo.com,1958-01-15,1.011111101001101e+42,Standers,The Thinker – INTP,"['ECE', 'CIV', 'CSE', 'AE']","['Videography', 'Sports', 'Gaming', 'Music', 'Collecting', 'Reading']"
67,marshallchristina,Jonathan Mack Jr.,M,"00802 Oscar Radial
West Allison, RI 29250",smithbrian@yahoo.com,1974-08-16,1.111010100100011e+42,Seekers,The Inspector – ISTJ,"['ECE', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Crafting', 'Traveling', 'Reading']"
68,esmith,Heidi Rojas,F,"330 Michael Glen
Ruizmouth, IA 42239",lsheppard@yahoo.com,1975-03-05,1.11001011111111e+41,Seekers,The Inspector – ISTJ,"['CIV', 'ME', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Fitness', 'Sports', 'Gaming', 'Collecting', 'Photography', 'Crafting', 'Reading']"
69,qhernandez,Jessica Mendoza,F,"PSC 2035, Box 1567
APO AE 94719",aaronbrown@gmail.com,1983-12-25,1.1010111001100001e+43,Standers,The Commander – ENTJ,"['CIV', 'ME', 'AE']","['Writing', 'Fitness', 'Sports', 'Gaming', 'Gardening', 'Music', 'Collecting', 'Reading']"
70,joe24,Richard Simmons,M,"13951 Stacy Lake Apt. 248
Anthonymouth, TX 74036",paul40@yahoo.com,2008-05-22,1.110011001001e+43,Sitters,The Thinker – INTP,"['CIV', 'AE']","['Writing', 'Videography', 'Cooking', 'Sports', 'Gaming', 'Gardening', 'Music', 'Collecting', 'Photography', 'Crafting', 'Reading']"
71,gallowaybruce,Victor Clark,M,"76257 Bryan Glens Apt. 014
Port Anthony, MT 47097",tkelly@hotmail.com,2015-07-08,1.100011100100111e+42,Seekers,The Doer – ESTP,"['CHEMICAL. E', 'CIV', 'ME', 'CSE', 'AE']","['Writing', 'Videography', 'Cooking', 'Sports', 'Gaming', 'Music', 'Crafting', 'Traveling', 'Reading']"
72,kelseysolomon,Elizabeth Lester,F,"66447 Paul Mountain
Leport, CO 68217",prestonshawn@yahoo.com,2018-06-27,1.100010100011001e+41,Sitters,The Inspector – ISTJ,"['ME', 'AE']","['Exploration', 'Cooking', 'Fitness', 'Music', 'Crafting', 'Traveling', 'Reading']"
73,qcurtis,Kelli Bailey,F,"3150 Atkins Turnpike
Jackieville, TX 41138",justinlarson@hotmail.com,1966-08-08,1.01000100000001e+43,Standers,The Craftsman – ISTP,"['CHEMICAL. E', 'CIV', 'ME', 'AE']","['Exploration', 'Writing', 'Gaming', 'Photography', 'Crafting', 'Reading']"
74,lisafranco,Dalton Clark,M,"3991 Perez Islands Suite 339
New Rebeccaview, FL 97330",lholmes@yahoo.com,1993-11-17,1.11100110010001e+43,Seekers,The Champion – ENFP,"['CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Videography', 'Cooking', 'Gaming', 'Gardening', 'Collecting', 'Photography', 'Crafting', 'Traveling', 'Reading']"
75,john89,Jennifer Lucero,F,"5109 Alexander Park
Margaretton, VT 29207",collinsjulie@gmail.com,1930-04-12,1.1111001101010101e+43,Standers,The Supervisor – ESTJ,"['ECE', 'CIV', 'ME', 'CSE', 'AE']","['Exploration', 'Cooking', 'Gaming', 'Music', 'Photography', 'Crafting', 'Reading']"
76,wsheppard,Jeremy Jones,M,"46404 Johnson Flats Apt. 351
New Shannonland, HI 82950",jeffrey89@gmail.com,2000-03-07,1.0100110011111e+42,Standers,The Nurturer – ISFJ,"['CIV', 'ME', 'AE']","['Cooking', 'Fitness', 'Sports', 'Gaming', 'Gardening', 'Collecting', 'Traveling', 'Reading']"
77,agibson,Lucas Pierce,M,"8398 Richard Station Apt. 842
New Jermaine, TN 69100",julie98@hotmail.com,1992-04-03,1.0100101010010002e+43,Seekers,The Supervisor – ESTJ,"['ME', 'CSE', 'AE']","['Exploration', 'Writing', 'Sports', 'Gardening', 'Crafting', 'Traveling', 'Reading']"
78,bakerdustin,Latasha Banks,F,"0614 Le Stream Apt. 014
New Joshuaton, WV 24766",csimmons@gmail.com,1994-06-09,1.0000001111001111e+43,Standers,The Thinker – INTP,"['ME', 'CSE', 'AE']","['Writing', 'Videography', 'Cooking', 'Gaming', 'Music', 'Collecting', 'Crafting', 'Traveling', 'Reading']"
79,qpennington,Debra Thompson,F,"95837 Daniel Ramp Apt. 468
Mirandatown, AL 34623",lewisjennifer@yahoo.com,1932-03-30,1.000000011001001e+43,Sitters,The Counselor – INFJ,"['ECE', 'CIV', 'CSE', 'AE']","['Writing', 'Videography', 'Gaming', 'Crafting', 'Reading']"
80,montoyadustin,Frank Mathews,M,"7524 Bailey Landing
Jonesfort, RI 94767",stephenwalker@hotmail.com,1976-08-03,1.0011011111110002e+42,Sitters,The Mastermind – INTJ,"['CHEMICAL. E', 'ECE', 'CIV', 'CSE', 'AE']","['Videography', 'Cooking', 'Gaming', 'Crafting', 'Reading']"
81,watkinsalexander,Emily Thomas,F,"USNV Moore
FPO AE 38404",garycase@yahoo.com,1929-04-29,1.001000111000011e+43,Standers,The Champion – ENFP,"['CSE', 'AE']","['Exploration', 'Writing', 'Cooking', 'Gaming', 'Collecting', 'Reading']"
82,melissaperkins,Joseph Martin,M,"783 Justin Fork
North Anneside, ME 05769",nancy31@hotmail.com,1934-03-18,1.00101111010011e+43,Standers,The Craftsman – ISTP,"['ECE', 'CIV', 'AE']","['Writing', 'Cooking', 'Sports', 'Gardening', 'Collecting', 'Photography', 'Crafting', 'Reading']"
83,xwhitehead,Christopher Allen,M,"4392 Collin Port
Jeffreybury, KY 68718",andreharris@yahoo.com,2000-12-18,1.101011001001011e+43,Seekers,The Mastermind – INTJ,"['CIV', 'AE']","['Writing', 'Cooking', 'Sports', 'Gaming', 'Gardening', 'Music', 'Collecting', 'Traveling', 'Reading']"
84,daviesjason,Richard Payne,M,"286 Kathy Valleys
Port Adamshire, NM 75003",hperez@hotmail.com,1995-12-13,1.111110001011111e+43,Seekers,The Champion – ENFP,"['CHEMICAL. E', 'ME', 'CSE', 'AE']","['Sports', 'Traveling', 'Reading']"
85,lcompton,Jared Bender,M,"117 Sarah Springs
Paynemouth, WY 32146",jesus57@yahoo.com,1961-06-28,1.110010101000001e+41,Seekers,Visionary – ENTP,"['ECE', 'ME', 'AE']","['Writing', 'Cooking', 'Gardening', 'Collecting', 'Traveling', 'Reading']"
86,whitesean,Victoria Morrison,F,"3793 Peter Place
West Jacobton, MI 30491",kathrynbrewer@hotmail.com,1971-10-24,1.100011111000101e+43,Seekers,The Mastermind – INTJ,"['CIV', 'ME', 'AE']","['Writing', 'Videography', 'Cooking', 'Gaming', 'Gardening', 'Reading']"
